Netflix subscribers (mm),year,quarter
24.43,2012,q1
25.71,2012,q2
27.49,2012,q3
30.36,2012,q4
34.24,2013,q1
35.63,2013,q2
38.01,2013,q3
41.43,2013,q4
46.14,2014,q1
47.99,2014,q2
50.65,2014,q3
54.48,2014,q4
59.62,2015,q1
62.71,2015,q2
66.02,2015,q3
70.84,2015,q4
77.71,2016,q1
79.9,2016,q2
83.28,2016,q3
89.09,2016,q4
94.36,2017,q1
99.04,2017,q2
104.02,2017,q3
110.64,2017,q4
118.9,2018,q1
124.35,2018,q2
130.42,2018,q3
139.26,2018,q4
148.86,2019,q1
151.56,2019,q2
158.33,2019,q3
167.09,2019,q4
182.86,2020,q1
192.95,2020,q2
195.15,2020,q3
203.66,2020,q4
207.64,2021,q1
209,2021,q2
214,2021,q3
222.2,2021,q4
222,2022,q1
220.6,2022,q2
223,2022,q3
230.7,2022,q4
232.5,2023,q1
238.3,2023,q2
247.1,2023,q3
260.2,2023,q4
269.6,2024,q1
277.6,2024,q2
282.7,2024,q3
301.6,2024,q4
