Country,Number of Movies,Average Production Budget,Total Worldwide Box Office,Share,Top-Grossing Movie,Year
United States,683,39493378,26005273810,81.919,The Avengers,2012
United Kingdom,100,30068000,2855707217,8.996,Skyfall,2012
France,108,23700000,1565256072,4.931,Les Intouchables,2012
China,40,38366667,1435109640,4.521,Ren zai jiong tu zhi tai jiong,2012
New Zealand,3,200000000,1015416860,3.199,The Hobbit: An Unexpected Journey,2012
Japan,36,23000000,874531725,2.755,Arrietty (借りぐらしのアリエッティ)…,2012
India,49,16100000,558039055,1.758,Ek Tha Tiger,2012
Republic of Korea,26,3500000,501750916,1.581,"Gwanghae, Wangyidoen namja",2012
Hong Kong,12,14000000,441548367,1.391,Shi Er Sheng Xiao,2012
Spain,30,30266667,437464807,1.378,The Impossible,2012
Italy,28,27300000,376301240,1.185,The Devil Inside,2012
Germany,35,34150000,274273129,0.864,Cloud Atlas,2012
Canada,59,15577778,254067156,0.800,The Woman in Black,2012
Belgium,20,21525000,180853063,0.570,Sur la piste du Marsupilami,2012
Sweden,10,15000000,154276663,0.486,The Woman in Black,2012
United Arab Emirates,2,57000000,149217355,0.470,Ghost Rider: Spirit of Vengeance,2012
Australia,20,9333333,111446022,0.351,Bait 3D,2012
Romania,2,1000000,102545899,0.323,The Devil Inside,2012
South Africa,5,32500000,76051219,0.240,Dredd,2012
Hungary,4,45300000,61026491,0.192,Astérix et Obélix: Au service de Sa M…,2012
Norway,14,5250000,56689226,0.179,Kon-Tiki,2012
Ireland,15,12500000,55507098,0.175,Haywire,2012
Russian Federation,11,7000000,52070255,0.164,Three Heroes on Distant Shores,2012
Czech Republic,6,40000000,51156716,0.161,Solomon Kane,2012
Denmark,12,3450000,46445501,0.146,En kongelig affære,2012
"Taiwan, Province of China",3,14000000,42992588,0.135,Ai,2012
Singapore,1,,32588670,0.103,Bait 3D,2012
Turkey,2,,32540389,0.103,Fetih 1453,2012
Thailand,7,4650000,24223433,0.076,Turkisch fur Anfanger,2012
Poland,8,,19937289,0.063,In Darkness,2012
Brazil,8,25000000,19738224,0.062,On the Road,2012
Mexico,13,12000000,15640381,0.049,For Greater Glory: The True Story of …,2012
Saudi Arabia,1,,14505102,0.046,Wadjda,2012
Colombia,2,2600000,13231255,0.042,La Cara Oculta,2012
Finland,2,,11569848,0.036,Iron Sky,2012
Argentina,11,,9832718,0.031,Elefante blanco,2012
Indonesia,2,1100000,9310046,0.029,Serbuan maut,2012
Austria,8,,8203063,0.026,360,2012
Netherlands,7,,5818577,0.018,De Heineken ontvoering,2012
Israel,7,,5755870,0.018,Lemale et ha'halal,2012
Chile,7,,3245380,0.010,Bonsai,2012
Philippines,3,,2636163,0.008,In the Name of Love,2012
Malaysia,1,,2323543,0.007,Seefood,2012
Northern Ireland,1,,1702415,0.005,2012 Oscar Shorts,2012
Pakistan,1,,1702415,0.005,2012 Oscar Shorts,2012
Switzerland,1,,1102869,0.003,L'enfant d'en haut,2012
Iceland,1,,686545,0.002,Svartur a leik,2012
Islamic Republic of Iran,2,,612529,0.002,Darbareye Elly,2012
Portugal,2,,566860,0.002,Tabu,2012
Egypt,1,,531813,0.002,"Et maintenant, on va où?",2012
Lebanon,1,,531813,0.002,"Et maintenant, on va où?",2012
Bahamas,1,,443291,0.001,The Last Reef 3D,2012
French Polynesia,1,,443291,0.001,The Last Reef 3D,2012
Palau,1,,443291,0.001,The Last Reef 3D,2012
Greece,2,,363705,0.001,Alpeis,2012
Lithuania,1,500000,314444,0.001,The Other Dream Team,2012
Occupied Palestinian T…,1,,283292,0.001,5 Broken Cameras,2012
Albania,1,,224887,0.001,The Forgiveness of Blood,2012
Cuba,1,,97509,0.000,Juan de los Muertos,2012
Uruguay,1,,69758,0.000,Selkirk El Verdadero Robinson Crusoe,2012
Slovakia,2,,35875,0.000,Evil,2012
Peru,1,,24819,0.000,Los Ilusionautas,2012
Nepal,2,,17283,0.000,When the Iron Bird Flies,2012
Uganda,1,,11946,0.000,Call Me Kuchu,2012
Bhutan,1,,3685,0.000,Yangsi,2012
Bosnia and Herzegovina,1,,3468,0.000,Cirkus Columbia,2012
Serbia,1,,3468,0.000,Cirkus Columbia,2012
Slovenia,1,,3468,0.000,Cirkus Columbia,2012
Luxembourg,1,,3358,0.000,Nuit Blanche,2012
Dominican Republic,1,500000,,,,2012
Georgia,1,,,,,2012
Iraq,1,,,,,2012
Kazakhstan,1,,,,,2012
Tajikistan,1,,,,,2012
United States,823,41698385,25985005992,86.509,Frozen,2013
United Kingdom,100,23809524,1599466153,5.325,Gravity,2013
China,41,23300000,1131499929,3.767,Xi you xiang mo pian,2013
New Zealand,7,165000000,1084610927,3.611,The Hobbit: The Desolation of Smaug,2013
Republic of Korea,29,24750000,734786941,2.446,Miracle in Cell No. 7 (7번방의 선물)…,2013
Japan,39,20666667,568389533,1.892,The Wind Rises (風立ちぬ),2013
India,48,11400000,486421812,1.619,The Attacks of 26/11,2013
France,98,11704167,404780873,1.348,The Purge,2013
Canada,72,13646250,404375647,1.346,Mama,2013
Germany,38,23666667,347875977,1.158,Fack ju Göthe,2013
Hong Kong,15,22000000,271826727,0.905,Jing cha gu shi er ling yi san,2013
Spain,27,18500000,252877309,0.842,Mama,2013
Mexico,12,5333333,137926627,0.459,No se Aceptan Devoluciones,2013
Australia,20,80000000,126483706,0.421,Walking with Dinosaurs,2013
Italy,23,6550000,123446269,0.411,Sole A Catinelle,2013
Russian Federation,7,4000000,105133241,0.350,Stalingrad,2013
Philippines,3,,76354174,0.254,Miracle In Cell No. 7,2013
South Africa,14,17000000,69608168,0.232,Mandela: Long Walk to Freedom,2013
Latvia,2,9500000,48359201,0.161,Bereurlin,2013
Belgium,17,2625000,45160309,0.150,Boule et Bill,2013
Luxembourg,4,,27979485,0.093,Boule et Bill,2013
Greece,2,3000000,23240749,0.077,Before Midnight,2013
Islamic Republic of Iran,1,8000000,15752575,0.052,Le passé,2013
Portugal,3,,15344136,0.051,La Cage Doree,2013
Sweden,4,,13945849,0.046,Diana,2013
Bulgaria,1,18000000,11813989,0.039,Getaway,2013
Peru,2,,9200028,0.031,Asu Mare,2013
Switzerland,5,,8152113,0.027,Das kleine Gespenst,2013
Ireland,7,,7484257,0.025,The Angels’ Share,2013
Denmark,8,2400000,7403999,0.025,Only God Forgives,2013
Brazil,8,3000000,7145000,0.024,Somos Tao Jovens,2013
Norway,6,1000000,6604611,0.022,Wakolda,2013
Chile,6,,5937206,0.020,No,2013
Argentina,11,,5465283,0.018,Wakolda,2013
Egypt,3,2625000,4263721,0.014,L’attentat,2013
Thailand,4,,3442571,0.011,Tom yum goong 2,2013
Qatar,1,3750000,3237975,0.011,L’attentat,2013
Cyprus,1,,3006761,0.010,Only Lovers Left Alive,2013
Israel,9,1500000,2915277,0.010,The Gatekeepers,2013
Netherlands,5,,2381890,0.008,App,2013
Afghanistan,4,,2301299,0.008,2013 Oscar Shorts,2013
Ukraine,1,,2146998,0.007,The Saratov Approach,2013
Colombia,2,,1521341,0.005,Sur le chemin de l'ecole,2013
Singapore,2,,1328680,0.004,Ilo Ilo,2013
Papua New Guinea,2,,934984,0.003,Mr. Pip,2013
Cambodia,2,,860033,0.003,Girl Rising,2013
Austria,7,,804756,0.003,Paradies: Glaube,2013
Occupied Palestinian T…,2,,791476,0.003,Omar,2013
Cuba,2,,735802,0.002,Una Noche,2013
Croatia,1,,165280,0.001,Kauboji,2013
Poland,3,,148889,0.000,The Congress,2013
Armenia,1,,122305,0.000,Lost and Found in Armenia,2013
