country,2000,2001,2002,2003,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,"20,130,327.0","20,284,307.0","21,378,117.0","22,733,049.0",,"23,560,654.0","24,404,567.0","25,424,094.0","25,909,852.0","26,482,622.0","27,466,101.0","28,284,089.0","29,347,708.0","30,560,034.0","31,622,704.0","32,792,523.0","33,831,764.0","34,700,612.0","35,688,935.0","36,743,039.0","37,856,121.0","39,068,979.0","40,000,412.0","40,578,842.0","41,454,761.0"
Albania,"3,089,027.0","3,060,173.0","3,051,010.0","3,039,616.0",,"3,026,939.0","3,011,487.0","2,992,547.0","2,970,017.0","2,947,314.0","2,927,519.0","2,913,021.0","2,905,195.0","2,900,401.0","2,895,092.0","2,889,104.0","2,880,703.0","2,876,101.0","2,873,457.0","2,866,376.0","2,854,191.0","2,837,849.0","2,811,666.0","2,777,689.0","2,745,972.0"
Algeria,"30,903,893.0","31,331,221.0","31,750,835.0","32,175,818.0",,"32,628,286.0","33,109,249.0","33,623,506.0","34,189,416.0","34,816,961.0","35,490,445.0","36,188,236.0","36,903,376.0","37,646,166.0","38,414,171.0","39,205,031.0","40,019,529.0","40,850,721.0","41,689,299.0","42,505,035.0","43,294,546.0","44,042,091.0","44,761,099.0","45,477,389.0","46,164,219.0"
American Samoa,"56,855.0","57,053.0","57,062.0","56,971.0",,"56,818.0","56,617.0","56,374.0","56,113.0","55,828.0","55,528.0","55,228.0","54,895.0","54,489.0","54,006.0","53,466.0","52,878.0","52,245.0","51,586.0","50,908.0","50,209.0","49,761.0","49,225.0","48,342.0","47,521.0"
Andorra,"65,685.0","65,852.0","66,506.0","69,486.0",,"74,325.0","77,421.0","79,585.0","81,877.0","83,495.0","83,888.0","80,706.0","77,783.0","76,834.0","75,194.0","73,737.0","72,174.0","72,181.0","73,763.0","75,162.0","76,474.0","77,380.0","78,364.0","79,705.0","80,856.0"
Angola,"16,194,869.0","16,747,208.0","17,327,699.0","17,943,712.0",,"18,600,423.0","19,291,161.0","20,015,279.0","20,778,561.0","21,578,655.0","22,414,773.0","23,294,825.0","24,218,352.0","25,177,394.0","26,165,620.0","27,160,769.0","28,157,798.0","29,183,070.0","30,234,839.0","31,297,155.0","32,375,632.0","33,451,132.0","34,532,429.0","35,635,029.0","36,749,906.0"
Antigua and Barbuda,"74,912.0","76,069.0","77,032.0","77,884.0",,"78,719.0","79,611.0","80,604.0","81,704.0","82,912.0","84,173.0","85,320.0","86,332.0","87,260.0","88,064.0","88,765.0","89,409.0","89,969.0","90,468.0","90,926.0","91,364.0","91,846.0","92,349.0","92,840.0","93,316.0"
Argentina,"37,213,984.0","37,624,825.0","38,029,349.0","38,424,282.0",,"38,815,916.0","39,216,789.0","39,622,115.0","40,016,763.0","40,424,148.0","40,854,831.0","41,288,694.0","41,730,660.0","42,161,721.0","42,582,455.0","43,024,071.0","43,477,012.0","43,900,313.0","44,288,894.0","44,654,882.0","44,973,465.0","45,191,965.0","45,312,281.0","45,407,904.0","45,538,401.0"
Armenia,"3,221,100.0","3,211,800.0","3,199,800.0","3,182,500.0",,"3,164,900.0","3,146,400.0","3,127,100.0","3,107,400.0","3,087,100.0","3,066,000.0","3,044,800.0","3,027,900.0","3,024,100.0","3,022,000.0","3,013,800.0","3,004,600.0","2,992,300.0","2,979,400.0","2,969,000.0","2,962,500.0","2,961,500.0","2,962,300.0","2,969,200.0","2,990,900.0"
Aruba,"90,588.0","91,439.0","92,074.0","93,128.0",,"95,138.0","97,635.0","99,405.0","100,150.0","100,917.0","101,604.0","101,838.0","102,591.0","104,110.0","105,675.0","106,807.0","107,906.0","108,727.0","108,735.0","108,908.0","109,203.0","108,587.0","107,700.0","107,310.0","107,359.0"
Australia,"19,028,802.0","19,274,701.0","19,495,210.0","19,720,737.0",,"19,932,722.0","20,176,844.0","20,450,966.0","20,827,622.0","21,249,199.0","21,691,653.0","22,031,750.0","22,340,024.0","22,733,465.0","23,128,129.0","23,475,686.0","23,815,995.0","24,190,907.0","24,592,588.0","24,963,258.0","25,334,826.0","25,649,248.0","25,685,412.0","26,014,399.0","26,658,948.0"
Austria,"8,011,566.0","8,042,293.0","8,081,957.0","8,121,423.0",,"8,171,966.0","8,227,829.0","8,268,641.0","8,295,487.0","8,321,496.0","8,343,323.0","8,363,404.0","8,391,643.0","8,429,991.0","8,479,823.0","8,546,356.0","8,642,699.0","8,736,668.0","8,797,566.0","8,840,521.0","8,879,920.0","8,916,864.0","8,955,797.0","9,041,851.0","9,131,761.0"
Azerbaijan,"8,048,600.0","8,111,200.0","8,171,950.0","8,234,100.0",,"8,306,500.0","8,391,850.0","8,484,550.0","8,581,300.0","8,763,400.0","8,947,243.0","9,054,332.0","9,173,082.0","9,295,784.0","9,416,801.0","9,535,079.0","9,649,341.0","9,757,812.0","9,854,033.0","9,939,771.0","10,024,283.0","10,093,121.0","10,137,750.0","10,141,756.0","10,153,958.0"
"Bahamas, The","323,835.0","327,836.0","331,614.0","335,618.0",,"339,782.0","343,894.0","348,375.0","353,334.0","358,120.0","362,810.0","367,478.0","371,729.0","375,469.0","378,953.0","382,298.0","385,346.0","388,055.0","390,485.0","392,717.0","394,675.0","395,863.0","396,373.0","397,538.0","399,440.0"
Bahrain,"637,582.0","661,316.0","710,553.0","764,517.0",,"823,741.0","888,822.0","960,424.0","1,039,295.0","1,103,496.0","1,178,415.0","1,228,543.0","1,195,020.0","1,208,964.0","1,253,191.0","1,314,562.0","1,370,322.0","1,423,726.0","1,501,116.0","1,503,091.0","1,483,756.0","1,472,204.0","1,504,365.0","1,524,693.0","1,577,059.0"
Bangladesh,"134,544,304.0","136,805,810.0","138,933,658.0","140,970,351.0",,"142,902,856.0","144,715,786.0","146,405,973.0","147,989,278.0","149,474,264.0","150,873,714.0","152,201,981.0","153,591,076.0","155,070,101.0","156,532,141.0","157,964,929.0","159,383,179.0","160,811,932.0","162,186,147.0","163,523,103.0","164,913,055.0","166,298,024.0","167,658,854.0","169,384,897.0","171,466,990.0"
Barbados,"262,063.0","262,425.0","264,148.0","265,776.0",,"267,298.0","268,706.0","270,002.0","271,288.0","272,714.0","274,123.0","275,243.0","276,139.0","276,938.0","277,665.0","278,348.0","278,990.0","279,598.0","280,171.0","280,711.0","281,207.0","281,698.0","282,147.0","282,318.0","282,336.0"
