Year,Title,Gross
1984,Beverly Hills Cop,234760478
1984,Ghostbusters,229376332
1984,Indiana Jones and the Temple of Doom,179876727
1984,Gremlins,148171538
1984,The Karate Kid,90817155
1984,Police Academy,81198894
1984,Footloose,80038626
1984,Romancing the Stone,76572547
1984,Star Trek III: The Search for Spock,76471046
1984,Splash,69821334
1984,Purple Rain,68393249
1984,Amadeus,51565096
1984,Tightrope,48143579
1984,The Natural,47951979
1984,"Greystoke: The Legend of Tarzan, Lord of the Apes",45858563
1984,Revenge of the Nerds,40874452
1984,2010,40400657
1984,Breakin',38682707
1984,Bachelor Party,38435947
1984,Red Dawn,38376497
1984,The Terminator,38374581
1984,City Heat,38348988
1984,All of Me,36403064
1984,Places in the Heart,34901614
1984,The Killing Fields,34700291
1984,Friday the 13th: The Final Chapter,32980880
1984,Conan the Destroyer,31042035
1984,Dune,30928421
1984,The Gods Must Be Crazy,30031783
1984,Starman,28744356
1984,The Last Starfighter,28733290
1984,Cannonball Run II,28078073
1984,Teachers,27774237
1984,A Passage to India,27187653
1984,Pinocchio 1984 Re-release,26414038
1984,Protocol,26186631
1984,Micki + Maude,26080861
1984,The Cotton Club,25928721
1984,The Muppets Take Manhattan,25534703
1984,A Nightmare on Elm Street,25507443
1984,The Woman in Red,25349388
1984,Moscow on the Hudson,25068724
1984,The Flamingo Kid,23859382
1984,Sixteen Candles,23686027
1984,The Jungle Book 1984 Re-release,23456945
1984,Missing in Action,22812411
1984,A Soldier's Story,21821347
1984,Against All Odds,21689062
1984,"Oh, God! You Devil",21538850
1984,Rhinestone,21435321
1984,Weekend Pass,21058033
1984,Top Secret!,20458340
1984,Hot Dog... The Movie,20307325
1984,The NeverEnding Story,20162419
1984,Unfaithfully Yours,19928200
1984,Best Defense,19265302
1984,Blame It on Rio,18644570
1984,Lassiter,17513452
1984,Angel,17488564
1984,Johnny Dangerously,17124395
1984,Firestarter,17080167
1984,Beat Street,16596465
1984,Breakin' 2: Electric Boogaloo,15101131
1984,Children of the Corn,14568989
1984,Night of the Comet,14418922
1984,Supergirl,14296438
1984,The Ice Pirates,14255801
1984,The Evil That Men Do,13102025
1984,Irreconcilable Differences,12414210
1984,Dreamscape,12145169
1984,Up the Creek,11708269
1984,The River,11489982
1984,Tank,11302884
1984,Falling in Love,11129057
1984,Hard to Hold,11113806
1984,The Wild Life,11020375
1984,Broadway Danny Rose,10600497
1984,Where the Boys Are,10530000
1984,Thief of Hearts,10435015
1984,Terror in the Aisles,10004817
1984,Cloak and Dagger,9719952
1984,Country,9640000
1984,Bolero,8914881
1984,Body Double,8802128
1984,Oxford Blues,8793152
1984,The Bounty,8613462
1984,1984,8430492
1984,Reckless,8289916
1984,The Philadelphia Experiment,8103330
1984,Streets of Fire,8089767
1984,Just the Way You Are,7889694
1984,The Little Drummer Girl,7828841
1984,Ninja III: The Domination,7610785
1984,Iceman,7343032
1984,Hardbodies,7121719
1984,Alphabet City,7035585
1984,The Pope of Greenwich Village,6836201
1984,Runaway,6770587
