country,subscribers
United States,66.7M
Brazil,15.3M
United Kingdom,14.1M
Germany,13.2M
France,10.1M
Mexico,10M
Japan,7M
Canada,6.7M
Australia,6.5M
India,5.5M
Spain,5.1M
South Korea,5M
Argentina,5M
Italy,4.1M
Indonesia,4M
Netherlands,3.2M
Turkey,2.6M
Colombia,2.5M
Poland,2M
Sweden,1.8M
Belgium,1.7M
Thailand,1.5M
Peru,1.5M
Chile,1.5M
Switzerland,1.5M
Norway,1.4M
Austria,1.3M
Ireland,1.3M
Denmark,1.1M
Malaysia,1M
Taiwan,1M
Romania,1M
Israel,1M
Singapore,1M
Finland,1M
New Zealand,1M
Portugal,800K
Vietnam,700K
Hong Kong,700K
Ecuador,500K
Dominican Republic,500K
Czech Republic,500K
Greece,500K
Hungary,500K
Paraguay,500K
Philippines,400K
Costa Rica,400K
Pakistan,300K
Venezuela,300K
Bolivia,300K
Panama,300K
Uruguay,300K
Guatemala,250K
United Arab Emirates,250K
Slovakia,250K
Bangladesh,200K
Saudi Arabia,200K
Honduras,200K
Bulgaria,200K
Serbia,200K
Croatia,200K
Nicaragua,150K
El Salvador,150K
Jamaica,150K
Slovenia,150K
Egypt,100K
South Africa,100K
Haiti,100K
Kuwait,100K
Qatar,100K
Lithuania,100K
Latvia,100K
Iceland,75K
Sri Lanka,50K
Oman,50K
North Macedonia,50K
Cyprus,50K
Estonia,50K
Bahamas,35K
Nigeria,25K
Botswana,25K
Azerbaijan,20K
Georgia,20K
Albania,20K
Montenegro,20K
Bahrain,15K
Belize,15K
Ethiopia,10K
DR Congo,10K
Tanzania,10K
Kenya,10K
Myanmar,10K
Uganda,10K
Algeria,10K
Yemen,10K
Angola,10K
Ukraine,10K
Morocco,10K
Ghana,10K
Cameroon,10K
Niger,10K
Cambodia,10K
Tunisia,10K
Jordan,10K
Cuba,10K
Papua New Guinea,10K
Laos,10K
Libya,10K
Lebanon,10K
Mongolia,10K
Bosnia and Herzegovina,10K
Moldova,10K
Iran,5K
Mauritius,5K
Guyana,5K
Suriname,5K
Malta,5K
Nepal,1K
Somalia,1K
Bhutan,1K
